id_GO	type	name
0019216P	P	regulation of lipid metabolic process
0018456F	F	aryl-alcohol dehydrogenase (NAD+) activity
0006081P	P	cellular aldehyde metabolic process
0047536F	F	2-aminoadipate transaminase activity
0016212F	F	kynurenine-oxoglutarate transaminase activity
0006103P	P	2-oxoglutarate metabolic process
0006536P	P	glutamate metabolic process
0070189P	P	kynurenine metabolic process
0033512P	P	L-lysine catabolic process to acetyl-CoA via saccharopine
0006554P	P	lysine catabolic process
0019441P	P	tryptophan catabolic process to kynurenine
0016209F	F	antioxidant activity
0030136C	C	clathrin-coated vesicle
0019897C	C	extrinsic component of plasma membrane
0035612F	F	AP-2 adaptor complex binding
0005112F	F	Notch binding
0004674F	F	protein serine/threonine kinase activity
0045747P	P	positive regulation of Notch signaling pathway
0046777P	P	protein autophosphorylation
2000369P	P	regulation of clathrin-dependent endocytosis
0032880P	P	regulation of protein localization
0004672F	F	protein kinase activity
0006633P	P	fatty acid biosynthetic process
0035878P	P	nail development
0031588C	C	nucleotide-activated protein kinase complex
0004679F	F	AMP-activated protein kinase activity
0007050P	P	cell cycle arrest
0050790P	P	regulation of catalytic activity
0016241P	P	regulation of macroautophagy
1901796P	P	regulation of signal transduction by p53 class mediator
0006853P	P	carnitine shuttle
0042304P	P	regulation of fatty acid biosynthetic process
0019887F	F	protein kinase regulator activity
0042149P	P	cellular response to glucose starvation
0043531F	F	ADP binding
0016208F	F	AMP binding
0004691F	F	cAMP-dependent protein kinase activity
0008603F	F	cAMP-dependent protein kinase regulator activity
0051170P	P	nuclear import
0045860P	P	positive regulation of protein kinase activity
0007283P	P	spermatogenesis
0004862F	F	cAMP-dependent protein kinase inhibitor activity
0008607F	F	phosphorylase kinase regulator activity
0030295F	F	protein kinase activator activity
0006754P	P	ATP biosynthetic process
0005977P	P	glycogen metabolic process
0019217P	P	regulation of fatty acid metabolic process
0046320P	P	regulation of fatty acid oxidation
0046324P	P	regulation of glucose import
0016126P	P	sterol biosynthetic process
0015758P	P	glucose transport
0005978P	P	glycogen biosynthetic process
0043539F	F	protein serine/threonine kinase activator activity
0007031P	P	peroxisome organization
0045722P	P	positive regulation of gluconeogenesis
0006357P	P	regulation of transcription from RNA polymerase II promoter
0001302P	P	replicative cell aging
0045171C	C	intercellular bridge
0030687C	C	preribosome, large subunit precursor
0001525P	P	angiogenesis
0010595P	P	positive regulation of endothelial cell migration
0042273P	P	ribosomal large subunit biogenesis
0014909P	P	smooth muscle cell migration
0000324C	C	fungal-type vacuole
0004177F	F	aminopeptidase activity
0070006F	F	metalloaminopeptidase activity
0042277F	F	peptide binding
0043171P	P	peptide catabolic process
0006508P	P	proteolysis
0035174F	F	histone serine kinase activity
0035262P	P	gonad morphogenesis
0032007P	P	negative regulation of TOR signaling
0050405F	F	[acetyl-CoA carboxylase] kinase activity
0047322F	F	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity
0003682F	F	chromatin binding
0050321F	F	tau-protein kinase activity
0061762P	P	CAMKK-AMPK signaling cascade
0071361P	P	cellular response to ethanol
0070301P	P	cellular response to hydrogen peroxide
0031669P	P	cellular response to nutrient levels
0071417P	P	cellular response to organonitrogen compound
0071380P	P	cellular response to prostaglandin E stimulus
0006695P	P	cholesterol biosynthetic process
0009631P	P	cold acclimation
0055089P	P	fatty acid homeostasis
0019395P	P	fatty acid oxidation
0042593P	P	glucose homeostasis
0006006P	P	glucose metabolic process
0008610P	P	lipid biosynthetic process
2001274P	P	negative regulation of glucose import in response to insulin stimulus
0046318P	P	negative regulation of glucosylceramide biosynthetic process
0010508P	P	positive regulation of autophagy
0045542P	P	positive regulation of cholesterol biosynthetic process
0048643P	P	positive regulation of skeletal muscle tissue development
0042752P	P	regulation of circadian rhythm
2000505P	P	regulation of energy homeostasis
0033135P	P	regulation of peptidyl-serine phosphorylation
0060627P	P	regulation of vesicle-mediated transport
0014823P	P	response to activity
1901563P	P	response to camptothecin
0010332P	P	response to gamma radiation
0048511P	P	rhythmic process
0042542P	P	response to hydrogen peroxide
0050709P	P	negative regulation of protein secretion
0018105P	P	peptidyl-serine phosphorylation
0061066P	P	positive regulation of dauer larval development
0004712F	F	protein serine/threonine/tyrosine kinase activity
0035404P	P	histone-serine phosphorylation
0016239P	P	positive regulation of macroautophagy
0014850P	P	response to muscle activity
0006950P	P	response to stress
0045182F	F	translation regulator activity
0005681C	C	spliceosomal complex
0000244P	P	spliceosomal tri-snRNP complex assembly
0005682C	C	U5 snRNP
0004813F	F	alanine-tRNA ligase activity
0003676F	F	nucleic acid binding
0006419P	P	alanyl-tRNA aminoacylation
0043039P	P	tRNA aminoacylation
0002196F	F	Ser-tRNA(Ala) hydrolase activity
0002161F	F	aminoacyl-tRNA editing activity
0006450P	P	regulation of translational fidelity
0047131F	F	saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity
0047130F	F	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
0004753F	F	saccharopine dehydrogenase activity
0019878P	P	lysine biosynthetic process via aminoadipic acid
0019477P	P	L-lysine catabolic process
0031520C	C	plasma membrane of cell tip
0004069F	F	L-aspartate
0006532P	P	aspartate biosynthetic process
0047801F	F	L-cysteine
0080130F	F	L-phenylalanine
0004609F	F	phosphatidylserine decarboxylase activity
0006533P	P	aspartate catabolic process
0019551P	P	glutamate catabolic process to 2-oxoglutarate
0019550P	P	glutamate catabolic process to aspartate
0006114P	P	glycerol biosynthetic process
0006107P	P	oxaloacetate metabolic process
0051384P	P	response to glucocorticoid
0006531P	P	aspartate metabolic process
0006094P	P	gluconeogenesis
0043679C	C	axon terminus
0005764C	C	lysosome
0031406F	F	carboxylic acid binding
0008652P	P	cellular amino acid biosynthetic process
0005777C	C	peroxisome
0019266P	P	asparagine biosynthetic process from oxaloacetate
0005730C	C	nucleolus
0043522F	F	leucine zipper domain binding
0006974P	P	cellular response to DNA damage stimulus
0040016P	P	embryonic cleavage
0042985P	P	negative regulation of amyloid precursor protein biosynthetic process
0032929P	P	negative regulation of superoxide anion generation
0042254P	P	ribosome biogenesis
0043069P	P	negative regulation of programmed cell death
0003700F	F	transcription factor activity, sequence-specific DNA binding
2000378P	P	negative regulation of reactive oxygen species metabolic process
0015908P	P	fatty acid transport
0047578F	F	4-hydroxyglutamate transaminase activity
0016597F	F	amino acid binding
0005543F	F	phospholipid binding
0019470P	P	4-hydroxyproline catabolic process
0046487P	P	glyoxylate metabolic process
0006534P	P	cysteine metabolic process
0001300P	P	chronological cell aging
0008793F	F	aromatic-amino-acid
0009072P	P	aromatic amino acid family metabolic process
0016787F	F	hydrolase activity
0030479C	C	actin cortical patch
0005884C	C	actin filament
0032432C	C	actin filament bundle
0051015F	F	actin filament binding
0030674F	F	protein binding, bridging
0052735F	F	tRNA (cytosine-3-)-methyltransferase activity
0051017P	P	actin filament bundle assembly
0030488P	P	tRNA methylation
0010008C	C	endosome membrane
0008474F	F	palmitoyl-(protein) hydrolase activity
1902817P	P	negative regulation of protein localization to microtubule
1905668P	P	positive regulation of protein localization to endosome
0002084P	P	protein depalmitoylation
0072657P	P	protein localization to membrane
0018345P	P	protein palmitoylation
1902473P	P	regulation of protein localization to synapse
0042101C	C	T cell receptor complex
0045785P	P	positive regulation of cell adhesion
0002291P	P	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
0042626F	F	ATPase activity, coupled to transmembrane movement of substances
0055085P	P	transmembrane transport
0044604F	F	phytochelatin transmembrane transporter ATPase activity
0098849P	P	cellular detoxification of cadmium ion
0071996P	P	glutathione transmembrane import into vacuole
0036246P	P	phytochelatin 2 import into vacuole
0004126F	F	cytidine deaminase activity
0047844F	F	deoxycytidine deaminase activity
0071466P	P	cellular response to xenobiotic stimulus
0044356P	P	clearance of foreign intracellular DNA by conversion of DNA cytidine to uridine
0070383P	P	DNA cytosine deamination
0080111P	P	DNA demethylation
0010529P	P	negative regulation of transposition
0045071P	P	negative regulation of viral genome replication
0016814F	F	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
0009972P	P	cytidine deamination
0030529C	C	intracellular ribonucleoprotein complex
0016553P	P	base conversion or substitution editing
0045869P	P	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate
0048525P	P	negative regulation of viral process
0002230P	P	positive regulation of defense response to virus by host
0008829F	F	dCTP deaminase activity
0005774C	C	vacuolar membrane
0015440F	F	peptide-transporting ATPase activity
0008559F	F	xenobiotic transmembrane transporting ATPase activity
0006869P	P	lipid transport
0030139C	C	endocytic vesicle
0045335C	C	phagocytic vesicle
0008509F	F	anion transmembrane transporter activity
0034186F	F	apolipoprotein A-I binding
0034188F	F	apolipoprotein A-I receptor activity
0016887F	F	ATPase activity
0051117F	F	ATPase binding
0015485F	F	cholesterol binding
0017127F	F	cholesterol transporter activity
0090554F	F	phosphatidylcholine-translocating ATPase activity
0090556F	F	phosphatidylserine-translocating ATPase activity
0005548F	F	phospholipid transporter activity
0031267F	F	small GTPase binding
0019905F	F	syntaxin binding
0071222P	P	cellular response to lipopolysaccharide
0071300P	P	cellular response to retinoic acid
0033344P	P	cholesterol efflux
0042632P	P	cholesterol homeostasis
0016197P	P	endosomal transport
0034380P	P	high-density lipoprotein particle assembly
0050702P	P	interleukin-1 beta secretion
0032367P	P	intracellular cholesterol transport
0007040P	P	lysosome organization
0010887P	P	negative regulation of cholesterol storage
0010745P	P	negative regulation of macrophage derived foam cell differentiation
0033700P	P	phospholipid efflux
0055091P	P	phospholipid homeostasis
0045332P	P	phospholipid translocation
0060155P	P	platelet dense granule organization
0010875P	P	positive regulation of cholesterol efflux
0006497P	P	protein lipidation
0032489P	P	regulation of Cdc42 protein signal transduction
0090107P	P	regulation of high-density lipoprotein particle assembly
0034616P	P	response to laminar fluid shear stress
0055098P	P	response to low-density lipoprotein particle stimulus
0043691P	P	reverse cholesterol transport
0042158P	P	lipoprotein biosynthetic process
0002790P	P	peptide secretion
0043190C	C	ATP-binding cassette (ABC) transporter complex
0005815C	C	microtubule organizing center
0032383P	P	regulation of intracellular cholesterol transport
0048545P	P	response to steroid hormone
0097208C	C	alveolar lamellar body
0097233C	C	alveolar lamellar body membrane
0097232C	C	lamellar body membrane
0005319F	F	lipid transporter activity
0005215F	F	transporter activity
0097381C	C	photoreceptor disc membrane
0005395F	F	eye pigment precursor transporter activity
0090555F	F	phosphatidylethanolamine-translocating ATPase activity
0006649P	P	phospholipid transfer to membrane
0045494P	P	photoreceptor cell maintenance
0007603P	P	phototransduction, visible light
0001523P	P	retinoid metabolic process
0001750C	C	photoreceptor outer segment
0004012F	F	phospholipid-translocating ATPase activity
0050896P	P	response to stimulus
0005770C	C	late endosome
0034375P	P	high-density lipoprotein particle remodeling
0032587C	C	ruffle membrane
0038027P	P	apolipoprotein A-I-mediated signaling pathway
1902430P	P	negative regulation of amyloid-beta formation
0018149P	P	peptide cross-linking
1900223P	P	positive regulation of amyloid-beta clearance
1901076P	P	positive regulation of engulfment of apoptotic cell
0050766P	P	positive regulation of phagocytosis
1902995P	P	positive regulation of phospholipid efflux
0034504P	P	protein localization to nucleus
0097209C	C	epidermal lamellar body
0034191F	F	apolipoprotein A-I receptor binding
0034040F	F	lipid-transporting ATPase activity
0019725P	P	cellular homeostasis
0035627P	P	ceramide transport
0055088P	P	lipid homeostasis
0048286P	P	lung alveolus development
2000010P	P	positive regulation of protein localization to cell surface
0072659P	P	protein localization to plasma membrane
0045055P	P	regulated exocytosis
0032940P	P	secretion by cell
0043129P	P	surfactant homeostasis
0035577C	C	azurophil granule membrane
0006638P	P	neutral lipid metabolic process
0015562F	F	efflux transmembrane transporter activity
0048058P	P	compound eye corneal lens development
0042391P	P	regulation of membrane potential
0031307C	C	integral component of mitochondrial outer membrane
0005740C	C	mitochondrial envelope
0020037F	F	heme binding
0015232F	F	heme transporter activity
0015439F	F	heme-transporting ATPase activity
0006879P	P	cellular iron ion homeostasis
0015886P	P	heme transport
0006779P	P	porphyrin-containing compound biosynthetic process
0030176C	C	integral component of endoplasmic reticulum membrane
0015421F	F	oligopeptide-transporting ATPase activity
0022891F	F	substrate-specific transmembrane transporter activity
0015833P	P	peptide transport
0032592C	C	integral component of mitochondrial membrane
0046581C	C	intercellular canaliculus
0015432F	F	bile acid-exporting ATPase activity
0015126F	F	canalicular bile acid transmembrane transporter activity
0008554F	F	sodium-exporting ATPase activity, phosphorylative mechanism
0015721P	P	bile acid and bile salt transport
0015722P	P	canalicular bile acid transport
0008282C	C	ATP-sensitive potassium channel complex
0042383C	C	sarcolemma
0030672C	C	synaptic vesicle membrane
0008076C	C	voltage-gated potassium channel complex
0015272F	F	ATP-activated inward rectifier potassium channel activity
0043225F	F	ATPase-coupled anion transmembrane transporter activity
0005267F	F	potassium channel activity
0008281F	F	sulfonylurea receptor activity
0001678P	P	cellular glucose homeostasis
0071310P	P	cellular response to organic substance
0016525P	P	negative regulation of angiogenesis
0060253P	P	negative regulation of glial cell proliferation
0046676P	P	negative regulation of insulin secretion
0010989P	P	negative regulation of low-density lipoprotein particle clearance
1905604P	P	negative regulation of maintenance of permeability of blood-brain barrier
0061855P	P	negative regulation of neuroblast migration
0061045P	P	negative regulation of wound healing
1905075P	P	positive regulation of occluding junction disassembly
0032760P	P	positive regulation of tumor necrosis factor production
1900721P	P	positive regulation of uterine smooth muscle relaxation
1903818P	P	positive regulation of voltage-gated potassium channel activity
0006813P	P	potassium ion transport
0050796P	P	regulation of insulin secretion
0032868P	P	response to insulin
0032496P	P	response to lipopolysaccharide
0009268P	P	response to pH
0010107P	P	potassium ion import
1903779P	P	regulation of cardiac conduction
0071805P	P	potassium ion transmembrane transport
0008514F	F	organic anion transmembrane transporter activity
0015216F	F	purine nucleotide transmembrane transporter activity
0015711P	P	organic anion transport
0015865P	P	purine nucleotide transport
0005779C	C	integral component of peroxisomal membrane
0005778C	C	peroxisomal membrane
0005324F	F	long-chain fatty acid transporter activity
0005325F	F	peroxisomal fatty-acyl-CoA transporter activity
0036109P	P	alpha-linolenic acid metabolic process
0006635P	P	fatty acid beta-oxidation
0033540P	P	fatty acid beta-oxidation using acyl-CoA oxidase
0043651P	P	linoleic acid metabolic process
0042758P	P	long-chain fatty acid catabolic process
0015910P	P	peroxisomal long-chain fatty acid import
0015919P	P	peroxisomal membrane transport
0042760P	P	very long-chain fatty acid catabolic process
0032000P	P	positive regulation of fatty acid beta-oxidation
0000038P	P	very long-chain fatty acid metabolic process
0005782C	C	peroxisomal matrix
0043621F	F	protein self-association
0014070P	P	response to organic cyclic compound
1990830P	P	cellular response to leukemia inhibitory factor
0009235P	P	cobalamin metabolic process
0060698F	F	endoribonuclease inhibitor activity
0043024F	F	ribosomal small subunit binding
0060702P	P	negative regulation of endoribonuclease activity
0060338P	P	regulation of type I interferon-mediated signaling pathway
0000054P	P	ribosomal subunit export from nucleus
0006413P	P	translational initiation
0006415P	P	translational termination
0042788C	C	polysomal ribosome
0005840C	C	ribosome
0043022F	F	ribosome binding
0008494F	F	translation activator activity
0008135F	F	translation factor activity, RNA binding
0045727P	P	positive regulation of translation
0055037C	C	recycling endosome
0034437F	F	glycoprotein transporter activity
0034041F	F	sterol-transporting ATPase activity
0019534F	F	toxin transmembrane transporter activity
0042987P	P	amyloid precursor protein catabolic process
0009720P	P	detection of hormone stimulus
0034436P	P	glycoprotein transport
0034374P	P	low-density lipoprotein particle remodeling
0010872P	P	regulation of cholesterol esterification
0055099P	P	response to high density lipoprotein particle
0033993P	P	response to lipid
0030301P	P	cholesterol transport
0010888P	P	negative regulation of lipid storage
0006855P	P	drug transmembrane transport
0046415P	P	urate metabolic process
0030299P	P	intestinal cholesterol absorption
0045796P	P	negative regulation of intestinal cholesterol absorption
0010949P	P	negative regulation of intestinal phytosterol absorption
0010212P	P	response to ionizing radiation
0015914P	P	phospholipid transport
0055092P	P	sterol homeostasis
0015918P	P	sterol transport
0031314C	C	extrinsic component of mitochondrial inner membrane
0006744P	P	ubiquinone biosynthetic process
0032194P	P	ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate
0032281C	C	AMPA glutamate receptor complex
0032839C	C	dendrite cytoplasm
0047372F	F	acylglycerol lipase activity
0004622F	F	lysophospholipase activity
0046464P	P	acylglycerol catabolic process
0007628P	P	adult walking behavior
0052651P	P	monoacylglycerol catabolic process
0006660P	P	phosphatidylserine catabolic process
0010996P	P	response to auditory stimulus
0048899P	P	anterior lateral line development
0043010P	P	camera-type eye development
0042552P	P	myelination
0048919P	P	posterior lateral line neuromast development
0010842P	P	retina layer formation
0036269P	P	swimming behavior
0046475P	P	glycerophospholipid catabolic process
0005667C	C	transcription factor complex
0033613F	F	activating transcription factor binding
0003705F	F	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding
0048738P	P	cardiac muscle tissue development
0010002P	P	cardioblast differentiation
0035225P	P	determination of genital disc primordium
0035053P	P	dorsal vessel heart proper cell fate commitment
0035224P	P	genital disc anterior/posterior pattern formation
0048806P	P	genitalia development
0008354P	P	germ cell migration
0008406P	P	gonad development
0007506P	P	gonadal mesoderm development
0007501P	P	mesodermal cell fate specification
0007494P	P	midgut development
0007400P	P	neuroblast fate determination
0007438P	P	oenocyte development
0000980F	F	RNA polymerase II distal enhancer sequence-specific DNA binding
0000976F	F	transcription regulatory region sequence-specific DNA binding
0048066P	P	developmental pigmentation
0035261P	P	external genitalia morphogenesis
0030540P	P	female genitalia development
0035215P	P	genital disc development
0035263P	P	genital disc sexually dimorphic development
0007486P	P	imaginal disc-derived female genitalia development
0007484P	P	imaginal disc-derived genitalia development
0030539P	P	male genitalia development
0048094P	P	male pigmentation
0009997P	P	negative regulation of cardioblast cell fate specification
0045705P	P	negative regulation of salivary gland boundary specification
0045843P	P	negative regulation of striated muscle tissue development
0061101P	P	neuroendocrine cell differentiation
0007424P	P	open tracheal system development
1902339P	P	positive regulation of apoptotic process involved in morphogenesis
0048087P	P	positive regulation of developmental pigmentation
0007431P	P	salivary gland development
0007379P	P	segment specification
0007548P	P	sex differentiation
0048071P	P	sex-specific pigmentation
0007385P	P	specification of segmental identity, abdomen
0035277P	P	spiracle morphogenesis, open tracheal system
0052689F	F	carboxylic ester hydrolase activity
0044255P	P	cellular lipid metabolic process
0017091F	F	AU-rich element binding
0004131F	F	cytosine deaminase activity
0008047F	F	enzyme activator activity
0043021F	F	ribonucleoprotein complex binding
0042953P	P	lipoprotein transport
0048255P	P	mRNA stabilization
0090310P	P	negative regulation of methylation-dependent chromatin silencing
0090209P	P	negative regulation of triglyceride metabolic process
0090366P	P	positive regulation of mRNA modification
0042127P	P	regulation of cell proliferation
0051592P	P	response to calcium ion
0006970P	P	response to osmotic stress
0006396P	P	RNA processing
0006641P	P	triglyceride metabolic process
0098542P	P	defense response to other organism
0000113C	C	nucleotide-excision repair factor 4 complex
0001046F	F	core promoter sequence-specific DNA binding
0003688F	F	DNA replication origin binding
0000978F	F	RNA polymerase II core promoter proximal region sequence-specific DNA binding
0044374F	F	sequence-specific DNA binding, bending
0001077F	F	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding
0006338P	P	chromatin remodeling
0030466P	P	chromatin silencing at silent mating-type cassette
0006261P	P	DNA-dependent DNA replication
0070911P	P	global genome nucleotide-excision repair
0050832P	P	defense response to fungus
0031640P	P	killing of cells of other organism
0000262C	C	mitochondrial chromosome
0008301F	F	DNA binding, bending
0090139P	P	mitochondrial DNA packaging
0000002P	P	mitochondrial genome maintenance
0000001P	P	mitochondrion inheritance
0016788F	F	hydrolase activity, acting on ester bonds
0097524C	C	sperm plasma membrane
0042562F	F	hormone binding
0032570P	P	response to progesterone
0048240P	P	sperm capacitation
0043401P	P	steroid hormone mediated signaling pathway
0007340P	P	acrosome reaction
0022416P	P	chaeta development
0035220P	P	wing disc development
0002080C	C	acrosomal membrane
0052740F	F	1-acyl-2-lysophosphatidylserine acylhydrolase activity
0008970F	F	phosphatidylcholine 1-acylhydrolase activity
0052739F	F	phosphatidylserine 1-acylhydrolase activity
0004623F	F	phospholipase A2 activity
0102567F	F	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)
0102568F	F	phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)
0046470P	P	phosphatidylcholine metabolic process
0006656P	P	phosphatidylcholine biosynthetic process
0036152P	P	phosphatidylethanolamine acyl-chain remodeling
0070291P	P	N-acylethanolamine metabolic process
0005811C	C	lipid droplet
0003841F	F	1-acylglycerol-3-phosphate O-acyltransferase activity
0042171F	F	lysophosphatidic acid acyltransferase activity
0010891P	P	negative regulation of sequestering of triglyceride
0006654P	P	phosphatidic acid biosynthetic process
0051006P	P	positive regulation of lipoprotein lipase activity
0050996P	P	positive regulation of lipid catabolic process
0004620F	F	phospholipase activity
0060292P	P	long term synaptic depression
0009395P	P	phospholipid catabolic process
0046889P	P	positive regulation of lipid biosynthetic process
2000124P	P	regulation of endocannabinoid signaling pathway
0004553F	F	hydrolase activity, hydrolyzing O-glycosyl compounds
0102390F	F	mycophenolic acid acyl-glucuronide esterase activity
0019391P	P	glucuronoside catabolic process
0052695P	P	cellular glucuronidation
0050427P	P	3'-phosphoadenosine 5'-phosphosulfate metabolic process
1905344P	P	prostaglandin catabolic process
0030175C	C	filopodium
0030426C	C	growth cone
0031209C	C	SCAR complex
0030296F	F	protein tyrosine kinase activator activity
0008154P	P	actin polymerization or depolymerization
0048813P	P	dendrite morphogenesis
0038096P	P	Fc-gamma receptor signaling pathway involved in phagocytosis
0072673P	P	lamellipodium morphogenesis
0035855P	P	megakaryocyte development
0006928P	P	movement of cell or subcellular component
0001756P	P	somitogenesis
0007169P	P	transmembrane receptor protein tyrosine kinase signaling pathway
0048010P	P	vascular endothelial growth factor receptor signaling pathway
0008093F	F	cytoskeletal adaptor activity
0070064F	F	proline-rich region binding
2000601P	P	positive regulation of Arp2/3 complex-mediated actin nucleation
0016601P	P	Rac protein signal transduction
0005913C	C	cell-cell adherens junction
0030334P	P	regulation of cell migration
0031234C	C	extrinsic component of cytoplasmic side of plasma membrane
0004715F	F	non-membrane spanning protein tyrosine kinase activity
0043518P	P	negative regulation of DNA damage response, signal transduction by p53 class mediator
1901075P	P	negative regulation of engulfment of apoptotic cell
0038083P	P	peptidyl-tyrosine autophosphorylation
0016604C	C	nuclear body
0098794C	C	postsynapse
0003785F	F	actin monomer binding
0016301F	F	kinase activity
0030145F	F	manganese ion binding
0051019F	F	mitogen-activated protein kinase binding
0038191F	F	neuropilin binding
0004515F	F	nicotinate-nucleotide adenylyltransferase activity
0042169F	F	SH2 domain binding
0090135P	P	actin filament branching
0050798P	P	activated T cell proliferation
1990051P	P	activation of protein kinase C activity
0046632P	P	alpha-beta T cell differentiation
0002322P	P	B cell proliferation involved in immune response
0050853P	P	B cell receptor signaling pathway
0001922P	P	B-1 B cell homeostasis
0060020P	P	Bergmann glial cell differentiation
0072358P	P	cardiovascular system development
0006464P	P	cellular protein modification process
1903351P	P	cellular response to dopamine
0021587P	P	cerebellum morphogenesis
0048668P	P	collateral sprouting
0006975P	P	DNA damage induced protein phosphorylation
0043542P	P	endothelial cell migration
0007173P	P	epidermal growth factor receptor signaling pathway
0045184P	P	establishment of protein localization
0007229P	P	integrin-mediated signaling pathway
0030035P	P	microspike assembly
0006298P	P	mismatch repair
0051882P	P	mitochondrial depolarization
0030514P	P	negative regulation of BMP signaling pathway
0022408P	P	negative regulation of cell-cell adhesion
2000773P	P	negative regulation of cellular senescence
2000352P	P	negative regulation of endothelial cell apoptotic process
0070373P	P	negative regulation of ERK1 and ERK2 cascade
0043124P	P	negative regulation of I-kappaB kinase/NF-kappaB signaling
0045930P	P	negative regulation of mitotic cell cycle
1900275P	P	negative regulation of phospholipase C activity
0071901P	P	negative regulation of protein serine/threonine kinase activity
0051444P	P	negative regulation of ubiquitin-protein transferase activity
0001843P	P	neural tube closure
0060563P	P	neuroepithelial cell differentiation
0038189P	P	neuropilin signaling pathway
0035791P	P	platelet-derived growth factor receptor-beta signaling pathway
1905555P	P	positive regulation blood vessel branching
2000251P	P	positive regulation of actin cytoskeleton reorganization
1904531P	P	positive regulation of actin filament binding
0090050P	P	positive regulation of cell migration involved in sprouting angiogenesis
0051894P	P	positive regulation of focal adhesion assembly
1902715P	P	positive regulation of interferon-gamma secretion
1900042P	P	positive regulation of interleukin-2 secretion
1904528P	P	positive regulation of microtubule binding
0051149P	P	positive regulation of muscle cell differentiation
0033690P	P	positive regulation of osteoblast proliferation
0051353P	P	positive regulation of oxidoreductase activity
0051281P	P	positive regulation of release of sequestered calcium ion into cytosol
1900026P	P	positive regulation of substrate adhesion-dependent cell spreading
2000096P	P	positive regulation of Wnt signaling pathway, planar cell polarity pathway
0009791P	P	post-embryonic development
2000249P	P	regulation of actin cytoskeleton reorganization
0010506P	P	regulation of autophagy
0030516P	P	regulation of axon extension
2000145P	P	regulation of cell motility
0030100P	P	regulation of endocytosis
1903053P	P	regulation of extracellular matrix organization
1902036P	P	regulation of hematopoietic stem cell differentiation
0031113P	P	regulation of microtubule polymerization
1905244P	P	regulation of modification of synaptic structure
2001020P	P	regulation of response to DNA damage stimulus
0045580P	P	regulation of T cell differentiation
0042770P	P	signal transduction in response to DNA damage
0048536P	P	spleen development
0034446P	P	substrate adhesion-dependent cell spreading
0048538P	P	thymus development
0002333P	P	transitional one stage B cell differentiation
0042100P	P	B cell proliferation
0030182P	P	neuron differentiation
0048008P	P	platelet-derived growth factor receptor signaling pathway
2000772P	P	regulation of cellular senescence
0010863P	P	positive regulation of phospholipase C activity
0001725C	C	stress fiber
0009887P	P	animal organ morphogenesis
0060271P	P	cilium assembly
0030032P	P	lamellipodium assembly
0030016C	C	myofibril
1903955P	P	positive regulation of protein targeting to mitochondrion
0045179C	C	apical cortex
0005927C	C	muscle tendon junction
0021785P	P	branchiomotor neuron axon guidance
0048749P	P	compound eye development
0007303P	P	cytoplasmic transport, nurse cell to oocyte
0003382P	P	epithelial cell morphogenesis
0002009P	P	morphogenesis of an epithelium
0008045P	P	motor neuron axon guidance
0010977P	P	negative regulation of neuron projection development
0045886P	P	negative regulation of synaptic growth at neuromuscular junction
0072499P	P	photoreceptor cell axon guidance
0003402P	P	planar cell polarity pathway involved in axis elongation
0010592P	P	positive regulation of lamellipodium assembly
0008064P	P	regulation of actin polymerization or depolymerization
0031647P	P	regulation of protein stability
0007370P	P	ventral furrow formation
0000226P	P	microtubule cytoskeleton organization
0031934C	C	mating-type region heterochromatin
0019237F	F	centromeric DNA binding
0030702P	P	chromatin silencing at centromere
0007535P	P	donor selection
0000070P	P	mitotic sister chromatid segregation
1903212P	P	protein localization to mating-type region heterochromatin
0010011F	F	auxin binding
0009734P	P	auxin-activated signaling pathway
0000147P	P	actin cortical patch assembly
0051016P	P	barbed-end actin filament capping
0044379P	P	protein localization to actin cortical patch
0035025P	P	positive regulation of Rho protein signal transduction
0000060P	P	protein import into nucleus, translocation
0016198P	P	axon choice point recognition
0007298P	P	border follicle cell migration
0016203P	P	muscle attachment
0048666P	P	neuron development
0044719P	P	regulation of imaginal disc-derived wing size
0008039P	P	synaptic target recognition
0070531C	C	BRCA1-A complex
0031593F	F	polyubiquitin modification-dependent protein binding
0016569P	P	covalent chromatin modification
0006302P	P	double-strand break repair
0031572P	P	G2 DNA damage checkpoint
0045739P	P	positive regulation of DNA repair
0006303P	P	double-strand break repair via nonhomologous end joining
0016579P	P	protein deubiquitination
0070552C	C	BRISC complex
0005874C	C	microtubule
0000922C	C	spindle pole
0008017F	F	microtubule binding
0008608P	P	attachment of spindle microtubules to kinetochore
0090307P	P	mitotic spindle assembly
0070536P	P	protein K63-linked deubiquitination
0071497P	P	cellular response to freezing
0005089F	F	Rho guanyl-nucleotide exchange factor activity
0042472P	P	inner ear morphogenesis
